Latitude,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
-90,0.31,0.3,0.3,0.27,0.34,0.38,0.43,0.45,0.41,0.37,0.34,0.31
-80,0.31,0.31,0.31,0.28,0.35,0.4,0.44,0.46,0.42,0.38,0.36,0.32
-70,0.32,0.31,0.31,0.29,0.34,0.39,0.43,0.45,0.43,0.4,0.38,0.34
-60,0.32,0.31,0.3,0.3,0.33,0.38,0.41,0.42,0.42,0.4,0.39,0.35
-50,0.31,0.3,0.29,0.3,0.32,0.36,0.39,0.4,0.4,0.39,0.37,0.35
-40,0.3,0.29,0.28,0.29,0.31,0.33,0.35,0.37,0.38,0.37,0.34,0.32
-30,0.27,0.28,0.26,0.27,0.28,0.28,0.29,0.31,0.32,0.32,0.29,0.29
-20,0.24,0.25,0.24,0.25,0.25,0.25,0.25,0.26,0.26,0.26,0.26,0.25
-10,0.23,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.23
0,0.22,0.22,0.23,0.23,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.22
10,0.23,0.24,0.24,0.25,0.26,0.25,0.25,0.24,0.24,0.23,0.23,0.23
20,0.24,0.26,0.26,0.27,0.28,0.27,0.26,0.26,0.26,0.25,0.25,0.25
30,0.27,0.28,0.29,0.3,0.3,0.3,0.29,0.28,0.27,0.26,0.26,0.27
40,0.3,0.32,0.33,0.34,0.34,0.33,0.31,0.3,0.28,0.27,0.28,0.29
50,0.32,0.36,0.38,0.38,0.37,0.35,0.33,0.31,0.3,0.28,0.29,0.3
60,0.33,0.39,0.42,0.4,0.39,0.36,0.34,0.32,0.3,0.28,0.3,0.31
70,0.34,0.4,0.45,0.42,0.4,0.36,0.34,0.31,0.29,0.28,0.29,0.31
80,0.34,0.4,0.46,0.43,0.4,0.36,0.33,0.3,0.28,0.27,0.29,0.31
90,0.33,0.39,0.46,0.42,0.39,0.34,0.32,0.3,0.27,0.26,0.28,0.3
