Molality,Total,2 Molal Stock,Water,Total,2 Molal Stock,Water
0.05,1002.9221,27.9221,975,1003.7278,28.7278,975
0.1,1005.8443,55.8443,950,1007.4555,57.4555,950
0.2,1011.6886,111.6886,900,1014.911,114.911,900
0.3,1017.5328,167.5328,850,1022.3665,172.3665,850
0.4,1023.3771,223.3771,800,1029.822,229.822,800
0.5,1029.2214,279.2214,750,1037.2775,287.2775,750
0.6,1035.0657,335.0657,700,1044.733,344.733,700
0.7,1040.9099,390.9099,650,1052.1885,402.1885,650
0.8,1046.7542,446.7542,600,1059.644,459.644,600
0.9,1052.5985,502.5985,550,1067.0995,517.0995,550
1,1058.4428,558.4428,500,1074.555,574.555,500
1.5,1087.6642,837.6642,250,1111.8325,861.8325,250
2,1116.8856,1116.8853,0,1149.11,1149.11,0
