"","Site","Date","Time","PREC.I","TOBS.I","TMAX.H","TMIN.H","TAVG.H","PRCP.H","SMS.I_2","SMS.I_4","SMS.I_8","SMS.I_20","SMS.I_40","STO.I_2","STO.I_4","STO.I_8","STO.I_20","STO.I_40","STO.I-2_2","STO.I-2_4","STO.I-2_8","STO.I-2_20","STO.I-2_40","SAL.I_2","SAL.I_4","SAL.I_8","SAL.I_20","SAL.I_40","RDC.I_2","RDC.I_4","RDC.I_8","RDC.I_20","RDC.I_40","BATT.I","BATT.I-2","WDIRV.H","WSPDX.H","WSPDV.H","RHUM.I","PRES.I","SRADV.H","DPTP.H","PVPV.H","RHUMN.H","RHUMX.H","SVPV.H","RHUM","datetime"
"1",2184,2015-01-01,"00:00",0.3,-1.9,0.8,-1.9,0.5,0,3.7,6,10.2,10.9,9.5,2.2,5.6,12,16.2,20.9,2.5,5.7,12.1,16.2,20.9,0.1,0.2,0.2,0.4,0.2,3.94,4.8,6.63,7,6.32,12.93,3.29,296,4.3,1.3,65,30.06,0,-6,0.39,57,67,0.63,65,2015-01-01 00:00:00
"2",2184,2015-01-01,"01:00",NA,-2.1,-1.5,-2.6,-2,0,3.2,6,9.7,10.9,9.5,1.3,4.7,11.7,16.2,20.9,1.6,4.8,11.8,16.2,20.9,0.1,0.2,0.2,0.4,0.2,3.75,4.8,6.42,7,6.32,12.85,NA,302,4.4,2.2,66,30.06,0.03,-7.5,0.35,65,67,0.53,66,2015-01-01 01:00:00
"3",2184,2015-01-01,"02:00",NA,-3.2,-2.1,-3.3,-2.9,0,3.4,5.8,9.9,10.9,9.5,0.4,3.9,11.5,16.2,20.9,0.8,3.9,11.4,16.2,20.8,0.1,0.2,0.2,0.4,0.2,3.83,4.72,6.5,7,6.32,12.8,NA,285,4,2.4,66,30.07,0.02,-8.3,0.33,65,67,0.49,66,2015-01-01 02:00:00
"4",2184,2015-01-01,"03:00",NA,-3.1,-3.1,-3.7,-3.4,0,3.8,5.5,9.2,10.9,9.7,-0.4,3.1,11.1,16.2,20.9,0,3.2,11,16.2,20.8,0.1,0.2,0.2,0.4,0.2,3.95,4.62,6.18,7,6.4,12.8,NA,220,4.3,1.1,67,30.09,0.09,-8.7,0.32,66,67,0.48,67,2015-01-01 03:00:00
"5",2184,2015-01-01,"04:00",NA,-4.9,-3.1,-4.9,-4.4,0,3.2,5.4,9.5,10.9,9.7,-1.1,2.3,10.7,16.2,20.9,-0.8,2.5,10.6,16.2,20.8,0.1,0.2,0.2,0.4,0.2,3.75,4.56,6.31,7,6.4,12.79,NA,299,3.3,1.6,70,30.09,0.12,-9.2,0.31,67,72,0.44,70,2015-01-01 04:00:00
"6",2184,2015-01-01,"05:00",NA,-4.9,-4.7,-5.1,-4.8,0,3.2,5.8,9.2,10.9,9.5,-1.7,1.7,10.3,16.2,20.9,-1.4,1.8,10.2,16.2,20.8,0.1,0.2,0.2,0.4,0.2,3.75,4.74,6.19,7,6.32,12.77,NA,288,5,3.7,68,30.11,0.11,-9.5,0.3,68,70,0.43,68,2015-01-01 05:00:00
"7",2184,2015-01-01,"06:00",NA,-4.7,-4.7,-4.9,-4.8,0,3.5,5.6,9.5,10.9,9.7,-2.2,1.1,9.9,16.2,20.9,-1.9,1.3,9.8,16.2,20.8,0.1,0.2,0.2,0.4,0.2,3.87,4.64,6.31,7,6.4,12.75,NA,287,5.9,3.7,67,30.14,0.08,-10,0.29,66,68,0.43,67,2015-01-01 06:00:00
"8",2184,2015-01-01,"07:00",NA,-5.7,-4.7,-6,-5.6,0,3.5,5.2,9,10.9,9.7,-2.7,0.6,9.6,16.2,20.9,-2.4,0.7,9.5,16.2,20.8,0.1,0.2,0.2,0.4,0.2,3.87,4.49,6.08,7,6.4,13.02,NA,288,5,3.2,69,30.16,3.98,-10.2,0.28,67,72,0.4,69,2015-01-01 07:00:00
"9",2184,2015-01-01,"08:00",NA,-2.7,-2.7,-5.7,-4.7,0,3.7,5.2,9.4,10.9,9.5,-1.9,0.4,9.2,16.2,20.9,-1.5,0.6,9.1,16.2,20.8,0.1,0.2,0.2,0.4,0.2,3.92,4.49,6.28,7,6.32,14.82,NA,282,5.7,4.3,58,30.19,106.2,-10.1,0.29,58,69,0.43,58,2015-01-01 08:00:00
"10",2184,2015-01-01,"09:00",NA,1.4,1.4,-2.7,-1.2,0,3.9,5.4,9.4,10.9,10,1.8,1.5,8.9,16.2,20.9,1.9,1.7,8.8,16.1,20.8,0.1,0.2,0.2,0.4,0.2,4.01,4.57,6.29,7,6.55,14.72,NA,291,5.6,3.3,49,30.23,281,-9.4,0.3,49,58,0.56,49,2015-01-01 09:00:00
