"","network","id","state","name","lat","lon","elev","county","NRCS Soil Survey Pedon Code","GMT offset","start date"
"1","SCAN    ",15,"PR","MARICAO FOREST      ",18.15,-67.00468,2450,"MAYAGUEZ","28522",-4,2001-05-08 00:00:00
"2","SCAN    ",581,"MT","LINDSAY             ",47.21415,-105.18702,2871,"DAWSON","33997",-7,2006-10-22 06:59:59
"3","SCAN    ",674,"ID","ORCHARD RANGE SITE  ",43.32268,-115.99643,3200,"ADA","NULL",-8,2004-03-19 12:59:59
"4","SCAN    ",750,"NV","SHELDON             ",41.9045,-119.4436,5860,"WASHOE","16312",-8,1996-09-17 14:00:00
"5","SCAN    ",808,"MT","TABLE MOUNTAIN      ",45.80272,-111.58655,4474,"GALLATIN","NULL",-7,2006-10-25 15:00:00
"6","SCAN    ",965,"AK","IKALUKROK CREEK     ",68.08333,-163,650,"NORTHWEST ARCTIC",NA,-9,2006-10-01 00:00:00
"7","SCAN    ",968,"AK","IMNAVIAT CREEK      ",68.61683,-149.30017,3050,"NORTH SLOPE","NULL",-9,2011-10-24 09:59:59
"8","SCAN    ",2001,"NE","ROGERS FARM #1      ",40.85,-96.46667,1215,"LANCASTER","18827",-6,1996-10-11 06:59:59
"9","SCAN    ",2002,"MN","CRESCENT LAKE #1    ",45.41667,-93.95,980,"SHERBURNE","18818",-6,1996-08-15 18:00:00
"10","SCAN    ",2003,"WI","WABENO #1           ",45.46667,-88.58333,1580,"FOREST","17217",-6,1997-04-23 09:59:59
"11","SCAN    ",2004,"IL","MASON #1            ",40.31667,-89.9,570,"MASON","18819",-6,1997-04-21 09:00:00
"12","SCAN    ",2005,"KY","PRINCETON #1        ",37.1,-87.83333,615,"CALDWELL","18820",-6,1997-04-25 15:00:00
"13","SCAN    ",2006,"TX","BUSHLAND #1         ",35.16667,-102.1,3820,"RANDALL","18826",-6,1996-11-04 15:00:00
"14","SCAN    ",2008,"NC","TIDEWATER #1        ",35.86667,-76.65,20,"WASHINGTON","18823",-5,1997-04-23 09:59:59
"15","SCAN    ",2009,"FL","WAKULLA #1          ",30.3,-84.41667,150,"LEON","18824",-5,1996-12-10 11:00:00
"16","SCAN    ",2010,"MS","NEWTON #1           ",32.33333,-89.08333,300,"NEWTON","18825",-6,1996-05-22 06:00:00
"17","SCAN    ",2011,"NY","GENEVA #1           ",42.88333,-77.03333,725,"ONTARIO","18821",-5,1997-04-15 15:59:59
"18","SCAN    ",2012,"FL","SELLERS LAKE #1     ",29.1,-81.63333,75,"LAKE","19323",-5,1996-12-12 09:00:00
"19","SCAN    ",2013,"GA","WATKINSVILLE #1     ",33.88333,-83.43333,770,"OCONEE","19305",-5,1997-04-21 12:59:59
"20","SCAN    ",2014,"OH","MOLLY CAREN #1      ",39.95,-83.45,1060,"MADISON","19347",-5,1997-04-18 09:00:00
"21","SCAN    ",2015,"NM","ADAMS RANCH #1      ",34.25,-105.41667,6175,"LINCOLN","19304",-7,1997-03-16 09:00:00
"22","SCAN    ",2016,"TX","PRAIRIE VIEW #1     ",30.08333,-95.98333,270,"WALLER","19324",-6,1996-10-31 15:59:59
"23","SCAN    ",2017,"CO","NUNN #1             ",40.86667,-104.73333,5900,"WELD","18289",-7,1997-03-17 15:59:59
"24","SCAN    ",2018,"WY","TORRINGTON #1       ",42.06667,-104.13333,4280,"GOSHEN","19540",-7,1997-05-16 09:00:00
"25","SCAN    ",2019,"MT","FORT ASSINIBOINE #1 ",48.48333,-109.8,2710,"HILL","19462",-7,1997-05-12 15:59:59
"26","SCAN    ",2020,"ND","MANDAN #1           ",46.76667,-100.91667,1930,"MORTON","19646",-7,1997-05-14 15:00:00
"27","SCAN    ",2021,"WA","LIND #1             ",47,-118.56667,1640,"ADAMS","19303",-8,1996-11-01 18:00:00
"28","SCAN    ",2022,"OK","FORT RENO #1        ",35.55,-98.01667,1400,"CANADIAN","27115",-6,1998-11-10 14:00:00
"29","SCAN    ",2024,"MS","GOODWIN CK PASTURE  ",34.25,-89.86667,320,"PANOLA","29368",-6,1999-01-27 14:00:00
"30","SCAN    ",2025,"MS","GOODWIN CK TIMBER   ",34.23333,-89.9,320,"PANOLA","29369",-6,1999-01-27 14:00:00
"31","SCAN    ",2026,"AZ","WALNUT GULCH #1     ",31.73333,-110.05,4500,"COCHISE","24357",-7,1999-03-19 18:00:00
"32","SCAN    ",2027,"GA","LITTLE RIVER        ",31.5,-83.55,350,"TIFT","24419",-5,1999-05-19 09:00:00
"33","SCAN    ",2028,"PA","MAHANTANGO CK       ",40.66667,-76.66667,730,"NORTHUMBERLAND","24393",-5,1999-04-27 12:59:59
"34","SCAN    ",2030,"AR","UAPB-LONOKE FARM    ",34.85,-91.88333,250,"LONOKE","24684",-6,1999-09-16 12:00:00
"35","SCAN    ",2031,"IA","AMES                ",42.01667,-93.73333,1073,"BOONE","28516",-6,2001-09-19 00:00:00
"36","SCAN    ",2032,"MS","BEASLEY LAKE        ",33.38333,-90.65,115,"SUNFLOWER","24681",-6,1999-09-17 12:00:00
"37","SCAN    ",2033,"MS","ONWARD              ",32.75,-90.93333,100,"SHARKEY","24680",-6,1999-09-17 12:00:00
"38","SCAN    ",2034,"MS","TUNICA              ",34.68333,-90.41667,260,"TUNICA","24682",-6,1999-09-17 12:00:00
"39","SCAN    ",2035,"MS","VANCE               ",34.06667,-90.35,150,"TALLAHATCHIE","24683",-6,1999-09-17 12:00:00
"40","SCAN    ",2036,"PA","ROCK SPRINGS PA     ",40.71667,-77.93333,1220,"CENTRE","24539",-5,1999-11-04 00:00:00
"41","SCAN    ",2037,"SC","PEE DEE             ",34.3,-79.73333,120,"DARLINGTON","NULL",-5,1999-11-15 09:00:00
"42","SCAN    ",2038,"SC","YOUMANS FARM        ",32.66667,-81.2,75,"HAMPTON","NULL",-5,1999-11-15 09:00:00
"43","SCAN    ",2039,"VA","N PIEDMONT AREC     ",38.23333,-78.11667,520,"ORANGE","NULL",-5,2000-06-08 12:00:00
"44","SCAN    ",2040,"VA","TIDEWATER AREC      ",36.68333,-76.76667,80,"SUFFOLK","NULL",-5,2000-06-07 12:00:00
"45","SCAN    ",2041,"VT","MOUNT MANSFIELD     ",44.53333,-72.83333,2236,"CHITTENDEN","25911",-5,2000-09-13 12:00:00
"46","SCAN    ",2042,"VT","LYE BROOK           ",43.05,-73.03333,2435,"BENNINGTON","25913",-5,2000-09-14 12:00:00
"47","SCAN    ",2043,"NH","MASCOMA RIVER       ",43.78333,-72.03333,1400,"GRAFTON","24097",-5,1998-08-03 00:00:00
"48","SCAN    ",2045,"PR","GUILARTE FOREST     ",18.15,-66.76667,3345,"ADJUNTAS","28517",-4,2001-05-08 00:00:00
"49","SCAN    ",2046,"MS","PERTHSHIRE          ",33.96667,-90.9,200,"BOLIVAR","27796",-6,2002-04-16 00:00:00
"50","SCAN    ",2047,"MO","SPICKARD            ",40.25,-93.71667,911,"AUDRAIN","28816",-6,2001-09-19 00:00:00
"51","SCAN    ",2048,"MO","DEXTER              ",36.78333,-89.93333,305,"STODDARD","28817",-6,2001-09-19 00:00:00
"52","SCAN    ",2049,"MD","POWDER MILL         ",39.01667,-76.85,105,"PRINCE GEORGE'S","27253",-5,2001-10-30 00:00:00
"53","SCAN    ",2050,"MN","GLACIAL RIDGE       ",47.71667,-96.26667,1125,"POLK","28526",-6,2001-09-25 00:00:00
"54","SCAN    ",2051,"FL","EVERGLADES ARS      ",25.5,-80.55,9,"DADE","23291",-5,1999-02-01 00:00:00
"55","SCAN    ",2052,"PR","ISABELA             ",18.47022,-67.04372,50,"ISABELA","9774",-4,2003-08-12 12:59:59
"56","SCAN    ",2053,"AL","WTARS               ",34.9,-86.53333,625,"MADISON","27978",-6,2002-02-04 00:00:00
"57","SCAN    ",2054,"AL","HYTOP               ",34.86667,-86.1,1785,"JACKSON","27977",-6,2002-02-04 00:00:00
"58","SCAN    ",2055,"AL","HODGES              ",34.45,-86.15,730,"MARSHALL","27980",-6,2002-02-23 12:59:59
"59","SCAN    ",2056,"AL","STANLEY FARM        ",34.43333,-86.68333,635,"MORGAN","27794",-6,2002-02-23 12:59:59
"60","SCAN    ",2057,"AL","AAMU-JTG            ",34.78333,-86.55,860,"MADISON","27979",-6,2002-02-23 12:59:59
"61","SCAN    ",2058,"AL","HARTSELLE USDA      ",34.43333,-87,633,"MORGAN","27981",-6,2002-02-23 12:59:59
"62","SCAN    ",2059,"AL","NEWBY FARM          ",34.85,-86.88333,820,"LIMESTONE","27793",-6,2002-02-23 12:59:59
"63","SCAN    ",2060,"MO","MT VERNON           ",37.06667,-93.88333,1150,"LAWRENCE","28843",-6,2002-03-27 15:00:00
"64","SCAN    ",2061,"MO","POWELL GARDENS      ",38.86667,-94.03333,960,"JOHNSON","28842",-6,2002-03-27 15:00:00
"65","SCAN    ",2062,"AK","MOOSE INC           ",59.68333,-151.36667,132,"KENAI COOK INLET",NA,-9,2002-05-06 00:00:00
"66","SCAN    ",2063,"AK","SCHOR GARDEN        ",59.68333,-151.38333,393,"KENAI COOK INLET",NA,-9,2002-05-06 00:00:00
"67","SCAN    ",2064,"MS","STARKVILLE          ",33.63333,-88.76667,340,"OKTIBBEHA","27795",-6,1999-09-17 12:00:00
"68","SCAN    ",2065,"AK","ANIAK               ",61.58337,-159.57708,80,"BETHEL","28500",-9,2012-08-28 00:00:00
"69","SCAN    ",2066,"PR","COMBATE             ",17.98333,-67.16667,33,"CABO ROJO","8428",-4,2002-06-04 00:00:00
"70","SCAN    ",2067,"PR","BOSQUE SECO         ",17.96667,-66.86667,541,"GUANICA","33831",-4,2002-06-04 00:00:00
"71","SCAN    ",2068,"IA","SHAGBARK HILLS      ",42.43333,-95.76667,1400,"WOODBURY","28844",-6,2002-06-19 09:00:00
"72","SCAN    ",2069,"NH","HUBBARD BROOK       ",43.93333,-71.71667,1480,"GRAFTON","NULL",-5,2002-09-26 00:00:00
"73","SCAN    ",2070,"MS","SCOTT               ",33.61667,-91.1,165,"BOLIVAR","32317",-6,2002-08-12 12:00:00
"74","SCAN    ",2071,"AY","SCOTT BASE          ",-77.84819,166.76074,123,NA,"NULL",12,2003-01-01 00:00:00
"75","SCAN    ",2072,"SD","EROS DATA CENTER    ",43.73835,-96.61455,1602,"MINNEHAHA","29691",-7,2003-05-01 09:59:59
"76","SCAN    ",2073,"OH","SUNLEAF NURSERY     ",41.79618,-81.07653,670,"LAKE","30329",-5,2003-11-20 15:00:00
"77","SCAN    ",2074,"OR","LYNHART RANCH       ",42.01865,-121.38869,4092,"KLAMATH","31217",-8,2003-06-17 00:00:00
"78","SCAN    ",2075,"TN","MCALISTER FARM      ",35.06445,-86.59137,913,"LINCOLN","30332",-6,2003-06-02 00:00:00
"79","SCAN    ",2076,"TN","ALLEN FARMS         ",35.0747,-86.8938,705,"GILES","30331",-6,2003-06-03 00:00:00
"80","SCAN    ",2077,"TN","EASTVIEW FARM       ",35.13905,-86.19113,1054,"FRANKLIN","30330",-6,2003-06-04 00:00:00
"81","SCAN    ",2078,"AL","BRAGG FARM          ",34.89375,-86.60236,798,"MADISON","30508",-6,2003-08-25 15:00:00
"82","SCAN    ",2079,"KY","MAMMOTH CAVE        ",37.1864,-86.04093,800,"HART","29746",-6,2003-08-28 09:59:59
"83","SCAN    ",2080,"AK","TOK                 ",63.3532,-142.98164,1630,"SOUTHEAST FAIRBANKS","29389",-9,2012-08-22 00:00:00
"84","SCAN    ",2081,"AK","NENANA              ",64.68582,-148.9113,415,"YUKON-KOYUKUK",NA,-9,2005-08-31 00:00:00
"85","SCAN    ",2082,"MS","TNC FORT BAYOU      ",30.4712,-88.74162,43,"JACKSON","30981",-6,2003-11-04 15:59:59
"86","SCAN    ",2083,"AR","UAPB CAMPUS-PB      ",34.25188,-92.02632,232,"JEFFERSON","31334",-6,2004-02-05 11:00:00
"87","SCAN    ",2084,"AR","UAPB-MARIANNA       ",34.7849,-90.81769,217,"LEE","31335",-6,2004-02-06 12:00:00
"88","SCAN    ",2085,"AR","UAPB-EARLE          ",35.27732,-90.45031,213,"CRITTENDEN","NULL",-6,2004-02-07 12:59:59
"89","SCAN    ",2086,"MS","SILVER CITY         ",33.0875,-90.51151,115,"HUMPHREYS","31331",-6,2004-02-10 20:00:00
"90","SCAN    ",2087,"MS","NORTH ISSAQUENA     ",32.9972,-91.05993,112,"ISSAQUENA","31332",-6,2004-02-10 12:00:00
"91","SCAN    ",2088,"VA","SHENANDOAH          ",37.91667,-79.2,1763,"AUGUSTA","NULL",-5,2004-04-06 15:59:59
"92","SCAN    ",2089,"VA","REYNOLDS HOMESTEAD  ",36.63333,-80.13333,1127,"PATRICK","NULL",-5,2004-04-07 17:00:00
"93","SCAN    ",2090,"AR","UAPB POINT REMOVE   ",35.20842,-92.92462,315,"POPE","32243",-6,2004-05-04 12:00:00
"94","SCAN    ",2091,"AR","UAPB DEWITT         ",34.27788,-91.35017,197,"ARKANSAS","32242",-6,2004-05-06 15:00:00
"95","SCAN    ",2092,"KS","ABRAMS              ",37.1313,-97.0859,1194,"COWLEY","31337",-6,2004-06-21 15:59:59
"96","SCAN    ",2093,"KS","PHILLIPSBURG        ",39.78638,-99.32953,1986,"PHILLIPS","31339",-6,2004-06-23 09:00:00
"97","SCAN    ",2094,"KS","CENTRALIA LAKE      ",39.70045,-96.1629,1302,"NEMAHA","31338",-6,2004-06-24 12:59:59
"98","SCAN    ",2096,"HI","KAINALIU            ",19.53322,-155.92914,1364,"HAWAII","32495",-10,2005-02-10 12:00:00
"99","SCAN    ",2097,"HI","KUKUIHAELE          ",20.0955,-155.50864,947,"HAWAII","32496",-10,2005-02-11 00:00:00
"100","SCAN    ",2098,"HI","PUA AKALA           ",19.79264,-155.33183,6394,"HAWAII","32497",-10,2005-02-16 00:00:00
"101","SCAN    ",2099,"HI","WAIMEA PLAIN        ",20.0096,-155.5979,3039,"HAWAII","32499",-10,2005-02-17 00:00:00
"102","SCAN    ",2100,"HI","ISLAND DAIRY        ",19.99802,-155.28585,1160,"HAWAII","32501",-10,2005-02-22 00:00:00
"103","SCAN    ",2101,"HI","SILVER SWORD        ",19.76505,-155.42348,9324,"HAWAII","32498",-10,2005-02-19 00:00:00
"104","SCAN    ",2102,"HI","MANA HOUSE          ",19.95658,-155.53517,4234,"HAWAII","32500",-10,2005-02-18 00:00:00
"105","SCAN    ",2103,"HI","KEMOLE GULCH        ",19.91475,-155.59102,4163,"HAWAII","32502",-10,2005-02-23 00:00:00
"106","SCAN    ",2104,"TX","REESE CENTER        ",33.61536,-102.03869,3333,"LUBBOCK","30942",-6,2005-03-10 00:00:00
"107","SCAN    ",2105,"TX","LEVELLAND           ",33.55125,-102.37392,3510,"HOCKLEY","30943",-6,2005-03-11 00:00:00
"108","SCAN    ",2106,"TX","LEHMAN              ",33.62647,-102.7453,3767,"COCHRAN","30944",-6,2005-03-12 00:00:00
"109","SCAN    ",2107,"NM","CROSSROADS          ",33.53513,-103.242,4055,"LEA","30945",-7,2005-03-12 00:00:00
"110","SCAN    ",2108,"NM","WILLOW WELLS        ",33.53382,-103.63097,4537,"LEA","30946",-7,2005-03-12 00:00:00
"111","SCAN    ",2109,"MS","SANDY RIDGE         ",33.65911,-90.57297,138,"SUNFLOWER","32625",-6,2005-09-22 15:59:59
"112","SCAN    ",2110,"MS","MAYDAY              ",32.86153,-90.51989,108,"YAZOO","32626",-6,2005-09-23 15:59:59
"113","SCAN    ",2111,"NE","JOHNSON FARM        ",40.37042,-101.7201,3341,"CHASE","NULL",-7,2005-10-26 15:59:59
"114","SCAN    ",2112,"PR","MAYAGUEZ TARS       ",18.20902,-67.13648,45,"MAYAGUEZ",NA,-4,2013-12-09 14:00:00
"115","SCAN    ",2113,"AL","CULLMAN-NAHRC       ",34.19492,-86.79897,799,"CULLMAN","33156",-6,2006-05-16 00:00:00
"116","SCAN    ",2114,"AL","LIVINGSTON-UWA      ",32.608,-88.19743,144,"SUMTER","33154",-6,2006-05-17 00:00:00
"117","SCAN    ",2115,"AL","TUSKEGEE            ",32.43455,-85.74802,400,"MACON","33155",-6,2006-05-18 00:00:00
"118","SCAN    ",2116,"NV","LOVELOCK NNR        ",40.03328,-118.17764,3934,"PERSHING","33798",-8,2006-09-26 00:00:00
"119","SCAN    ",2117,"MT","CONRAD AG RC        ",48.30453,-111.92363,3706,"PONDERA","34001",-7,2006-10-18 00:00:00
"120","SCAN    ",2118,"MT","VIOLETT             ",48.43578,-111.18423,3225,"LIBERTY","34000",-7,2006-10-20 00:00:00
"121","SCAN    ",2119,"MT","MOCCASIN            ",47.05818,-109.95082,4256,"JUDITH BASIN","33996",-7,2006-10-21 00:00:00
"122","SCAN    ",2120,"MT","SIDNEY              ",47.77102,-104.247,2274,"RICHLAND","34002",-7,2006-10-24 00:00:00
"123","SCAN    ",2121,"MT","JORDAN              ",47.522,-107.12731,2820,"GARFIELD","NULL",-7,2007-06-06 12:59:59
"124","SCAN    ",2122,"PR","FORTUNA             ",18.02502,-66.5279,93,"JUANA DIAZ",NA,-4,2006-11-08 00:00:00
"125","SCAN    ",2123,"VI","UPPER BETHLEHEM     ",17.71833,-64.79518,119,"ST CROIX","NULL",-4,2006-11-14 00:00:00
"126","SCAN    ",2124,"VI","CINNAMON BAY        ",18.35,-64.75,310,"ST JOHN",NA,-4,2008-09-17 18:59:59
"127","SCAN    ",2125,"UT","CIRCLEVILLE         ",38.15133,-112.25122,6120,"PIUTE","34108",-7,2007-05-08 12:00:00
"128","SCAN    ",2126,"UT","EPHRAIM             ",39.424,-111.57207,5504,"SANPETE","34109",-7,2007-05-09 08:00:00
"129","SCAN    ",2127,"UT","HOLDEN              ",39.19215,-112.40157,4741,"MILLARD","34114",-7,2007-05-10 12:00:00
"130","SCAN    ",2128,"UT","ENTERPRISE          ",37.63342,-113.64323,5249,"IRON","34115",-7,2007-05-11 08:00:00
"131","SCAN    ",2129,"UT","MILFORD             ",38.34195,-113.01052,4997,"BEAVER","34113",-7,2007-05-12 08:00:00
