 FREE TROPOSPHERIC AND STRATOSPHERIC AEROSOL (extinction coefficients in 1/km)
 WAVELENGTH   free tropos.  stratosphere  mineral transp.
  .250E+00      .702E-02      .339E-03       .546E-02
  .300E+00      .606E-02      .324E-03       .552E-02
  .350E+00      .521E-02      .303E-03       .559E-02
  .400E+00      .449E-02      .278E-03       .566E-02
  .450E+00      .389E-02      .254E-03       .573E-02
  .500E+00      .339E-02      .233E-03       .579E-02
  .550E+00      .296E-02      .214E-03       .586E-02
  .600E+00      .260E-02      .195E-03       .592E-02
  .650E+00      .230E-02      .179E-03       .599E-02
  .700E+00      .204E-02      .163E-03       .605E-02
  .750E+00      .183E-02      .149E-03       .611E-02
  .800E+00      .161E-02      .137E-03       .617E-02
  .900E+00      .132E-02      .115E-03       .629E-02
  .100E+01      .109E-02      .966E-04       .638E-02
  .125E+01      .702E-03      .633E-04       .659E-02
  .150E+01      .491E-03      .426E-04       .671E-02
  .175E+01      .322E-03      .294E-04       .679E-02
  .200E+01      .206E-03      .209E-04       .677E-02
  .250E+01      .126E-03      .103E-04       .659E-02
  .300E+01      .394E-03      .192E-04       .619E-02
  .320E+01      .185E-03      .235E-04       .605E-02
  .339E+01      .974E-04      .256E-04       .593E-02
  .350E+01      .818E-04      .247E-04       .585E-02
  .375E+01      .637E-04      .197E-04       .563E-02
  .400E+01      .570E-04      .173E-04       .546E-02
  .450E+01      .579E-04      .142E-04       .508E-02
  .500E+01      .470E-04      .123E-04       .452E-02
  .550E+01      .430E-04      .159E-04       .394E-02
  .600E+01      .891E-04      .150E-04       .343E-02
  .620E+01      .775E-04      .124E-04       .324E-02
  .650E+01      .535E-04      .930E-05       .294E-02
  .720E+01      .668E-04      .117E-04       .310E-02
  .790E+01      .565E-04      .306E-04       .131E-02
  .820E+01      .735E-04      .378E-04       .118E-02
  .850E+01      .119E-03      .381E-04       .166E-02
  .870E+01      .110E-03      .339E-04       .233E-02
  .900E+01      .124E-03      .252E-04       .449E-02
  .920E+01      .150E-03      .236E-04       .517E-02
  .950E+01      .792E-04      .272E-04       .572E-02
  .980E+01      .596E-04      .204E-04       .561E-02
  .100E+02      .583E-04      .141E-04       .530E-02
  .106E+02      .535E-04      .111E-04       .381E-02
  .110E+02      .540E-04      .155E-04       .334E-02
  .115E+02      .628E-04      .993E-05       .339E-02
  .125E+02      .874E-04      .543E-05       .331E-02
  .130E+02      .942E-04      .525E-05       .336E-02
  .140E+02      .106E-03      .501E-05       .193E-02
  .148E+02      .114E-03      .504E-05       .168E-02
  .150E+02      .137E-03      .516E-05       .168E-02
  .164E+02      .106E-03      .957E-05       .165E-02
  .172E+02      .100E-03      .109E-04       .174E-02
  .180E+02      .893E-04      .705E-06       .215E-02
  .185E+02      .883E-04      .528E-06       .250E-02
  .200E+02      .763E-04      .396E-06       .270E-02
  .213E+02      .729E-04      .426E-05       .266E-02
  .225E+02      .712E-04      .432E-06       .256E-02
  .250E+02      .691E-04      .220E-05       .213E-02
  .279E+02      .618E-04      .178E-05       .161E-02
  .300E+02      .579E-04      .165E-05       .126E-02
  .350E+02      .560E-04      .151E-05       .857E-03
  .400E+02      .596E-04      .153E-05       .733E-03
